tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	265.4	0.0	0.0	90.0	This study	-78.0			25.0		SO-CMD-NORTH	CF-53	CF
	-79.8	0.0	0.0	90.0	This study	-77.0			25.4		SO-CMD-NORTH	CF-54	CF
	-70.0	0.0	0.0	90.0	This study	-83.0			26.3		SO-CMD-NORTH	CF-56	CF
	245.1	0.0	0.0	90.0	This study	-71.0			26.9		SO-CMD-NORTH	CF-57	CF
	230.4	0.0	0.0	90.0	This study	-80.0			27.2		SO-CMD-NORTH	CF-58	CF
	-60.1	0.0	0.0	90.0	This study	-104.0			27.7		SO-CMD-NORTH	CF-59	CF
	-65.0	0.0	0.0	90.0	This study	-77.0			28.3		SO-CMD-NORTH	CF-60	CF
	-62.1	0.0	0.0	90.0	This study	-79.0			28.5		SO-CMD-NORTH	CF-61	CF
	-53.2	0.0	0.0	90.0	This study	-88.0			28.9		SO-CMD-NORTH	CF-62	CF
	-63.0	0.0	0.0	90.0	This study	-77.0			29.3		SO-CMD-NORTH	CF-63	CF
	-89.3	0.0	0.0	90.0	This study	-99.0			30.0		SO-CMD-NORTH	CF-64	CF
	-68.6	0.0	0.0	90.0	This study	-90.0			30.3		SO-CMD-NORTH	CF-65	CF
	-72.5	0.0	0.0	90.0	This study	-104.0			30.6		SO-CMD-NORTH	CF-66	CF
	-84.5	0.0	0.0	90.0	This study	-86.0			31.0		SO-CMD-NORTH	CF-67	CF
	-32.4	0.0	0.0	90.0	This study	-95.0			31.3		SO-CMD-NORTH	CF-68	CF
	-64.4	0.0	0.0	90.0	This study	-74.0			31.9		SO-CMD-NORTH	CF-69	CF
	-11.0	0.0	0.0	90.0	This study	-1.0			12.6		SO-CMD-NORTH	CF-70	CF
	-59.6	0.0	0.0	90.0	This study	-80.0			32.6		SO-CMD-NORTH	CF-71	CF
	-66.4	0.0	0.0	90.0	This study	-84.0			32.9		SO-CMD-NORTH	CF-72	CF
	-58.5	0.0	0.0	90.0	This study	-85.0			33.3		SO-CMD-NORTH	CF-73	CF
	-34.2	0.0	0.0	90.0	This study	-103.0			33.7		SO-CMD-NORTH	CF-74	CF
	-72.8	0.0	0.0	90.0	This study	-83.0			33.9		SO-CMD-NORTH	CF-75	CF
	-72.4	0.0	0.0	90.0	This study	-83.0			34.2		SO-CMD-NORTH	CF-76	CF
	-48.5	0.0	0.0	90.0	This study	-90.0			34.6		SO-CMD-NORTH	CF-77	CF
	-67.5	0.0	0.0	90.0	This study	-89.0			35.0		SO-CMD-NORTH	CF-78	CF
	-86.5	0.0	0.0	90.0	This study	-90.0			35.3		SO-CMD-NORTH	CF-79	CF
	-64.5	0.0	0.0	90.0	This study	-82.0			35.6		SO-CMD-NORTH	CF-80	CF
	-74.3	0.0	0.0	90.0	This study	-75.0			36.0		SO-CMD-NORTH	CF-81	CF
	-52.2	0.0	0.0	90.0	This study	-93.0			36.6		SO-CMD-NORTH	CF-82	CF
	-71.0	0.0	0.0	90.0	This study	-62.0			37.2		SO-CMD-NORTH	CF-84	CF
	-74.0	0.0	0.0	90.0	This study	-81.0			37.6		SO-CMD-NORTH	CF-85	CF
	-71.5	0.0	0.0	90.0	This study	-73.0			37.9		SO-CMD-NORTH	CF-86	CF
	-87.5	0.0	0.0	90.0	This study	-69.0			38.1		SO-CMD-NORTH	CF-87	CF
	-87.5	0.0	0.0	90.0	This study	-69.0			38.4		SO-CMD-NORTH	CF-88	CF
	-54.5	0.0	0.0	90.0	This study	-73.0			40.6		SO-CMD-NORTH	CF-89	CF
	265.5	0.0	0.0	90.0	This study	-76.0			41.8		SO-CMD-NORTH	CF-90	CF
	225.5	0.0	0.0	90.0	This study	-80.0			42.2		SO-CMD-NORTH	CF-91	CF
	259.5	0.0	0.0	90.0	This study	-63.0			42.4		SO-CMD-NORTH	CF-92	CF
	-86.5	0.0	0.0	90.0	This study	-93.0			43.7		SO-CMD-NORTH	CF-93	CF
	-85.5	0.0	0.0	90.0	This study	-93.0			43.75		SO-CMD-NORTH	CF-94	CF
	-77.5	0.0	0.0	90.0	This study	-86.0			43.85		SO-CMD-NORTH	CF-96	CF
	-89.5	0.0	0.0	90.0	This study	-85.0			45.8		SO-CMD-NORTH	CF-97	CF
	-43.5	0.0	0.0	90.0	This study	-50.0			46.2		SO-CMD-NORTH	CF-98	CF
