,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GH2-,,,,,,,,,,,,,,,,,,,,,
site_name,Good Harbor andesite 2,,,,,,,,,,,,,,,,,,,,,
site_lat,47.732567,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-90.435239,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,198.178223,(meters),only used if no sun data,,,,[default is yes] (yes or no),all sun compass info is optional,,,,,,,,Optional Field,default core strike,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1b,,0,57,60,0,0,no,65,-5,2020,7,10,12,38,1,,,,,,,
2b,,0,60,55,0,0,no,68,-5,2020,7,10,12,41,1,,,,,,,
3b,,0,58,53,0,0,no,64,-5,2020,7,10,12,43,1,,,,,,,
4b,,0,57,44,0,0,no,62,-5,2020,7,10,12,45,1,,,,,,,
5b,,0,52,50,0,0,no,56,-5,2020,7,10,12,47,1,,,,,,,
6b,,0,54,46,0,0,no,57,-5,2020,7,10,12,49,1,,,,,,,
7b,,0,51,51,0,0,no,53,-5,2020,7,10,12,51,1,,,,,,,
8b,,0,58,47,0,0,no,59,-5,2020,7,10,12,53,1,,,,,,,
