tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
GH1-1b	GH1-1b_LP-DIR-AF	GH1-1b		mid 	285.7	33.0	1	19	0	0.0	0.4	1.300e-01	4.000e-02	T		hargrave 2021-03-16 20:28:34	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			GHB and TP	GH1
GH1-1b	GH1-1b_LP-DIR-AF	GH1-1b		mid 	279.4	37.4	1	19	100	0.0	0.4	1.300e-01	4.000e-02	T		hargrave 2021-03-16 20:28:34	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	g			GHB and TP	GH1
GH1-1b	GH1-1b_LP-DIR-AF	GH1-1b		mid 	244.2	83.1	1	21	-1	0.7	0.4	1.300e-01	3.000e-02	T		hargrave 2021-03-16 20:28:34	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-1b		GH1-1b													JP				This study	LP-NOMAG				GHB and TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		mid 	289.5	83.8	2	21	-1	0.3	0.2	1.300e-01	3.000e-02	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		low	128.4	72.2	2	8	-1	20.7	1.3	9.000e-03	2.000e-03	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		mid 	285.6	32.5	2	20	0	0.0	0.2	1.300e-01	3.500e-02	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			GHB and TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		low	312.0	44.6	2	8	0	20.7	1.3	9.000e-03	2.000e-03	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GHB and TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		low	305.0	52.5	2	8	100	20.7	1.3	9.000e-03	2.000e-03	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GHB and TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		mid 	279.3	36.9	2	20	100	0.0	0.2	1.300e-01	3.500e-02	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	g			GHB and TP	GH1
GH1-2b		GH1-2b													JP				This study	LP-NOMAG				GHB and TP	GH1
GH1-3b		GH1-3b													JP				This study	LP-NOMAG				GHB and TP	GH1
GH1-3b	GH1-3b_LP-DIR-AF	GH1-3b		low	180.2	51.8	2	7	-1	33.7	2.3	8.000e-03	2.000e-03	T		hargrave 2021-03-16 22:14:17	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-3b	GH1-3b_LP-DIR-AF	GH1-3b		mid 	285.4	30.8	2	19	0	0.0	0.3	1.300e-01	4.000e-02	T		hargrave 2021-03-16 22:14:17	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			GHB and TP	GH1
GH1-3b	GH1-3b_LP-DIR-AF	GH1-3b		low	294.6	70.2	2	7	0	33.7	2.3	8.000e-03	2.000e-03	T		hargrave 2021-03-16 22:14:17	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GHB and TP	GH1
GH1-3b	GH1-3b_LP-DIR-AF	GH1-3b		mid 	279.6	35.2	2	19	100	0.0	0.3	1.300e-01	4.000e-02	T		hargrave 2021-03-16 22:14:17	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	g			GHB and TP	GH1
GH1-3b	GH1-3b_LP-DIR-AF	GH1-3b		low	265.5	74.4	2	7	100	33.7	2.3	8.000e-03	2.000e-03	T		hargrave 2021-03-16 22:14:17	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GHB and TP	GH1
GH1-3b	GH1-3b_LP-DIR-AF	GH1-3b		mid 	269.8	81.8	2	21	-1	0.7	0.3	1.300e-01	3.000e-02	T		hargrave 2021-03-16 22:14:17	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-5b	GH1-5b_LP-DIR-AF	GH1-5b		low	18.2	71.1	2	12	0	44.8	4.8	1.200e-02	0.000e+00	T		hargrave 2021-03-16 23:06:10	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GHB and TP	GH1
GH1-5b	GH1-5b_LP-DIR-AF	GH1-5b		mid 	182.9	85.5	2	21	-1	3.2	1.8	1.300e-01	3.000e-02	T		hargrave 2021-03-16 23:06:10	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-5b	GH1-5b_LP-DIR-AF	GH1-5b		mid 	277.3	39.4	2	15	100	0.0	0.6	1.300e-01	6.000e-02	T		hargrave 2021-03-16 23:06:10	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	g			GHB and TP	GH1
GH1-5b	GH1-5b_LP-DIR-AF	GH1-5b		low	44.2	78.3	2	12	100	44.8	4.8	1.200e-02	0.000e+00	T		hargrave 2021-03-16 23:06:10	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GHB and TP	GH1
GH1-5b		GH1-5b													JP				This study	LP-NOMAG				GHB and TP	GH1
GH1-5b	GH1-5b_LP-DIR-AF	GH1-5b		low	157.4	32.3	2	12	-1	44.8	4.8	1.200e-02	0.000e+00	T		hargrave 2021-03-16 23:06:10	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-5b	GH1-5b_LP-DIR-AF	GH1-5b		mid 	284.2	35.3	2	15	0	0.0	0.6	1.300e-01	6.000e-02	T		hargrave 2021-03-16 23:06:10	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			GHB and TP	GH1
GH1-6b	GH1-6b_LP-DIR-AF	GH1-6b		mid 	306.6	81.2	2	21	-1	2.2	1.4	1.300e-01	3.000e-02	T		hargrave 2021-03-16 23:57:43	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-6b	GH1-6b_LP-DIR-AF	GH1-6b		low	171.6	62.4	2	8	-1	27.6	1.7	9.000e-03	2.000e-03	T		hargrave 2021-03-16 23:57:43	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GHB and TP	GH1
GH1-6b	GH1-6b_LP-DIR-AF	GH1-6b		mid 	285.6	32.5	2	15	0	0.0	0.4	1.300e-01	6.000e-02	T		hargrave 2021-03-16 23:57:43	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g			GHB and TP	GH1
GH1-6b		GH1-6b													JP				This study	LP-NOMAG				GHB and TP	GH1
GH1-6b	GH1-6b_LP-DIR-AF	GH1-6b		low	306.1	68.1	2	8	0	27.6	1.7	9.000e-03	2.000e-03	T		hargrave 2021-03-16 23:57:43	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GHB and TP	GH1
GH1-6b	GH1-6b_LP-DIR-AF	GH1-6b		mid 	279.3	36.9	2	15	100	0.0	0.4	1.300e-01	6.000e-02	T		hargrave 2021-03-16 23:57:43	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL-A:DA-DIR-TILT	g			GHB and TP	GH1
GH1-6b	GH1-6b_LP-DIR-AF	GH1-6b		low	282.7	74.3	2	8	100	27.6	1.7	9.000e-03	2.000e-03	T		hargrave 2021-03-16 23:57:43	pmagpy-4.2.50: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GHB and TP	GH1
