,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,TP1-,,,,,,,,,,,,,,,,,,,,,
site_name,Terrace Point 1,,,,,,,,,,,,,,,,,,,,,
site_lat,47.72614232,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-90.44293725,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,0.0,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1b,mag compass orientation (IGRF corrected),0,4,80.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,16.0,41.0,1.0,nan,nan,[357.50250520034615; 73.62191320212196; 56452.672339147684],-2.4974947996538504,insufficient data,1.5,nan
2b,mag compass orientation (IGRF corrected),0,352,70.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,16.0,54.0,1.0,nan,nan,[357.5025039526509; 73.62191167123741; 56452.66947865852],-2.4974960473491024,insufficient data,349.5,nan
3b,mag compass orientation (IGRF corrected),0,3,84.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,1.0,1.0,nan,nan,[357.502503280815; 73.62191084691489; 56452.66793839511],-2.497496719184994,insufficient data,0.5,nan
4b,mag compass orientation (IGRF corrected),0,42,27.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,5.0,1.0,nan,nan,[357.5025028969088; 73.62191037587345; 56452.667058244624],-2.4974971030911775,insufficient data,39.5,nan
5b,mag compass orientation (IGRF corrected),0,357,86.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,10.0,1.0,nan,nan,[357.50250241702605; 73.62190978707157; 56452.66595805648],-2.497497582973949,insufficient data,354.5,nan
6b,mag compass orientation (IGRF corrected),0,2,89.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,16.0,1.0,nan,nan,[357.5025018411668; 73.62190908050937; 56452.664637830785],-2.4974981588331957,insufficient data,-0.5,nan
7b,mag compass orientation (IGRF corrected),0,326,72.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,21.0,1.0,nan,nan,[357.5025013612841; 73.62190849170749; 56452.66353764266],-2.4974986387159106,insufficient data,323.5,nan
8b,mag compass orientation (IGRF corrected),0,340,77.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,28.0,1.0,nan,nan,[357.50250068944837; 73.62190766738475; 56452.661997379306],-2.497499310551632,insufficient data,337.5,nan
9b,mag compass orientation (IGRF corrected),0,318,78.0,0.0,0.0,no,nan,-5.0,2020.0,7.0,11.0,17.0,33.0,1.0,nan,nan,[357.50250020956565; 73.62190707858281; 56452.660897191214],-2.497499790434347,insufficient data,315.5,nan
