tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
JP	This study		0.3	241.9	84.9	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:44:34	5e-06	1.84e-08	1.78e-08	5.6000000000000005e-09	8	273	GH1-1a_LP-DIR-AF-1	LT-NO:LP-DIR-AF	g	1	pmagpy-4.2.72	GH1-1a	u	0.0	0	0.0	0.0	0	273
JP	This study		0.3	242.7	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:46:00	4.99e-06	1.8700000000000002e-08	1.79e-08	5.7e-09	8	273	GH1-1a_LP-DIR-AF-2	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-4.2.72	GH1-1a	u	0.001	0	0.0	0.0	1	273
JP	This study		0.3	243.1	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:47:22	4.98e-06	1.8700000000000002e-08	1.79e-08	5.61e-09	8	273	GH1-1a_LP-DIR-AF-3	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-4.2.72	GH1-1a	u	0.002	0	0.0	0.0	2	273
JP	This study		0.3	243.6	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:48:47	4.97e-06	1.8700000000000002e-08	1.86e-08	5.620000000000001e-09	8	273	GH1-1a_LP-DIR-AF-4	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-4.2.72	GH1-1a	u	0.003	0	0.0	0.0	3	273
JP	This study		0.3	244.0	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:50:09	4.97e-06	1.86e-08	1.92e-08	5.63e-09	8	273	GH1-1a_LP-DIR-AF-5	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-4.2.72	GH1-1a	u	0.004	0	0.0	0.0	4	273
JP	This study		0.3	244.6	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:51:32	4.96e-06	1.85e-08	1.86e-08	5.620000000000001e-09	8	273	GH1-1a_LP-DIR-AF-6	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-4.2.72	GH1-1a	u	0.005	0	0.0	0.0	5	273
JP	This study		0.3	245.2	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:52:56	4.95e-06	1.84e-08	2.0099999999999998e-08	5.589999999999999e-09	8	273	GH1-1a_LP-DIR-AF-7	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-4.2.72	GH1-1a	u	0.006	0	0.0	0.0	6	273
JP	This study		0.3	246.2	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:54:20	4.94e-06	1.8300000000000002e-08	1.74e-08	5.660000000000001e-09	8	273	GH1-1a_LP-DIR-AF-8	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-4.2.72	GH1-1a	u	0.007	0	0.0	0.0	7	273
JP	This study		0.3	247.1	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:55:41	4.92e-06	1.82e-08	1.73e-08	5.489999999999999e-09	8	273	GH1-1a_LP-DIR-AF-9	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-4.2.72	GH1-1a	u	0.008	0	0.0	0.0	8	273
JP	This study		0.3	248.3	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:57:04	4.9e-06	1.84e-08	1.75e-08	5.57e-09	8	273	GH1-1a_LP-DIR-AF-10	LT-AF-Z:LP-DIR-AF	g	10	pmagpy-4.2.72	GH1-1a	u	0.009	0	0.0	0.0	9	273
JP	This study		0.3	249.3	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:58:26	4.88e-06	1.81e-08	1.7e-08	5.420000000000001e-09	8	273	GH1-1a_LP-DIR-AF-11	LT-AF-Z:LP-DIR-AF	g	11	pmagpy-4.2.72	GH1-1a	u	0.01	0	0.0	0.0	10	273
JP	This study		0.3	251.6	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 17:59:53	4.82e-06	1.78e-08	1.74e-08	5.3299999999999996e-09	8	273	GH1-1a_LP-DIR-AF-12	LT-AF-Z:LP-DIR-AF	g	12	pmagpy-4.2.72	GH1-1a	u	0.012	0	0.0	0.0	11	273
JP	This study		0.3	253.9	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:01:15	4.74e-06	1.75e-08	1.6799999999999998e-08	5.41e-09	8	273	GH1-1a_LP-DIR-AF-13	LT-AF-Z:LP-DIR-AF	g	13	pmagpy-4.2.72	GH1-1a	u	0.014	0	0.0	0.0	12	273
JP	This study		0.3	255.7	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:02:41	4.64e-06	1.73e-08	1.63e-08	5.27e-09	8	273	GH1-1a_LP-DIR-AF-14	LT-AF-Z:LP-DIR-AF	g	14	pmagpy-4.2.72	GH1-1a	u	0.016	0	0.0	0.0	13	273
JP	This study		0.3	257.4	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:04:03	4.54e-06	1.7e-08	1.6399999999999998e-08	5.1200000000000005e-09	8	273	GH1-1a_LP-DIR-AF-15	LT-AF-Z:LP-DIR-AF	g	15	pmagpy-4.2.72	GH1-1a	u	0.018	0	0.0	0.0	14	273
JP	This study		0.3	259.3	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:05:28	4.41e-06	1.65e-08	1.55e-08	4.96e-09	8	273	GH1-1a_LP-DIR-AF-16	LT-AF-Z:LP-DIR-AF	g	16	pmagpy-4.2.72	GH1-1a	u	0.02	0	0.0	0.0	15	273
JP	This study		0.3	261.6	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:06:53	4.05e-06	1.49e-08	1.4099999999999999e-08	4.4799999999999994e-09	8	273	GH1-1a_LP-DIR-AF-17	LT-AF-Z:LP-DIR-AF	g	17	pmagpy-4.2.72	GH1-1a	u	0.025	0	0.0	0.0	16	273
JP	This study		0.3	263.1	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:08:17	3.59e-06	1.31e-08	1.25e-08	3.98e-09	8	273	GH1-1a_LP-DIR-AF-18	LT-AF-Z:LP-DIR-AF	g	18	pmagpy-4.2.72	GH1-1a	u	0.03	0	0.0	0.0	17	273
JP	This study		0.3	263.7	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:09:44	3.12e-06	1.1299999999999999e-08	1.09e-08	3.3899999999999997e-09	8	273	GH1-1a_LP-DIR-AF-19	LT-AF-Z:LP-DIR-AF	g	19	pmagpy-4.2.72	GH1-1a	u	0.035	0	0.0	0.0	18	273
JP	This study		0.3	263.5	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:11:07	2.68e-06	9.59e-09	9.44e-09	2.98e-09	8	273	GH1-1a_LP-DIR-AF-20	LT-AF-Z:LP-DIR-AF	g	20	pmagpy-4.2.72	GH1-1a	u	0.04	0	0.0	0.0	19	273
JP	This study		0.3	264.6	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:12:29	2.3e-06	8.14e-09	8.469999999999999e-09	2.39e-09	8	273	GH1-1a_LP-DIR-AF-21	LT-AF-Z:LP-DIR-AF	g	21	pmagpy-4.2.72	GH1-1a	u	0.045	0	0.0	0.0	20	273
JP	This study		0.3	263.5	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:13:52	1.98e-06	7.11e-09	7.33e-09	2.1600000000000004e-09	8	273	GH1-1a_LP-DIR-AF-22	LT-AF-Z:LP-DIR-AF	g	22	pmagpy-4.2.72	GH1-1a	u	0.05	0	0.0	0.0	21	273
JP	This study		0.3	264.6	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:15:14	1.72e-06	6.14e-09	6.09e-09	1.8299999999999999e-09	8	273	GH1-1a_LP-DIR-AF-23	LT-AF-Z:LP-DIR-AF	g	23	pmagpy-4.2.72	GH1-1a	u	0.055	0	0.0	0.0	22	273
JP	This study		0.3	265.6	85.3	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:16:36	1.53e-06	5.43e-09	5.4600000000000006e-09	1.5e-09	8	273	GH1-1a_LP-DIR-AF-24	LT-AF-Z:LP-DIR-AF	g	24	pmagpy-4.2.72	GH1-1a	u	0.06	0	0.0	0.0	23	273
JP	This study		0.3	266.1	85.3	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:17:58	1.38e-06	5.11e-09	4.73e-09	1.4400000000000002e-09	8	273	GH1-1a_LP-DIR-AF-25	LT-AF-Z:LP-DIR-AF	g	25	pmagpy-4.2.72	GH1-1a	u	0.065	0	0.0	0.0	24	273
JP	This study		0.3	265.7	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:19:20	1.27e-06	4.33e-09	4.6e-09	1.26e-09	8	273	GH1-1a_LP-DIR-AF-26	LT-AF-Z:LP-DIR-AF	g	26	pmagpy-4.2.72	GH1-1a	u	0.07	0	0.0	0.0	25	273
JP	This study		0.3	265.2	85.3	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:20:42	1.19e-06	4.18e-09	4.34e-09	1.14e-09	8	273	GH1-1a_LP-DIR-AF-27	LT-AF-Z:LP-DIR-AF	g	27	pmagpy-4.2.72	GH1-1a	u	0.075	0	0.0	0.0	26	273
JP	This study		0.3	266.1	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:22:05	1.12e-06	4.0999999999999995e-09	4.07e-09	1.0800000000000002e-09	8	273	GH1-1a_LP-DIR-AF-28	LT-AF-Z:LP-DIR-AF	g	28	pmagpy-4.2.72	GH1-1a	u	0.08	0	0.0	0.0	27	273
JP	This study		0.3	265.8	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:23:27	1.08e-06	3.79e-09	3.91e-09	1.16e-09	8	273	GH1-1a_LP-DIR-AF-29	LT-AF-Z:LP-DIR-AF	g	29	pmagpy-4.2.72	GH1-1a	u	0.085	0	0.0	0.0	28	273
JP	This study		0.3	265.8	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:24:50	1.04e-06	3.4799999999999996e-09	3.88e-09	1.1e-09	8	273	GH1-1a_LP-DIR-AF-30	LT-AF-Z:LP-DIR-AF	g	30	pmagpy-4.2.72	GH1-1a	u	0.09	0	0.0	0.0	29	273
JP	This study		0.3	265.2	85.3	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:26:12	1.02e-06	3.4899999999999997e-09	3.8e-09	1.07e-09	8	273	GH1-1a_LP-DIR-AF-31	LT-AF-Z:LP-DIR-AF	g	31	pmagpy-4.2.72	GH1-1a	u	0.095	0	0.0	0.0	30	273
JP	This study		0.3	270.4	85.0	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:27:35	9.99e-07	3.5100000000000005e-09	4.01e-09	9.71e-10	8	273	GH1-1a_LP-DIR-AF-32	LT-AF-Z:LP-DIR-AF	g	32	pmagpy-4.2.72	GH1-1a	u	0.1	0	0.0	0.0	31	273
JP	This study		0.3	266.5	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:28:59	9.78e-07	3.4100000000000004e-09	3.6700000000000004e-09	9.339999999999999e-10	8	273	GH1-1a_LP-DIR-AF-33	LT-AF-Z:LP-DIR-AF	g	33	pmagpy-4.2.72	GH1-1a	u	0.105	0	0.0	0.0	32	273
JP	This study		0.3	266.4	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:30:22	9.679999999999999e-07	3.37e-09	3.68e-09	9.35e-10	8	273	GH1-1a_LP-DIR-AF-34	LT-AF-Z:LP-DIR-AF	g	34	pmagpy-4.2.72	GH1-1a	u	0.11	0	0.0	0.0	33	273
JP	This study		0.3	266.0	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:31:45	9.56e-07	3.37e-09	3.58e-09	1.01e-09	8	273	GH1-1a_LP-DIR-AF-35	LT-AF-Z:LP-DIR-AF	g	35	pmagpy-4.2.72	GH1-1a	u	0.115	0	0.0	0.0	34	273
JP	This study		0.3	265.3	85.3	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:33:09	9.49e-07	3.45e-09	3.5700000000000003e-09	9e-10	8	273	GH1-1a_LP-DIR-AF-36	LT-AF-Z:LP-DIR-AF	g	36	pmagpy-4.2.72	GH1-1a	u	0.12	0	0.0	0.0	35	273
JP	This study		0.3	265.3	85.2	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:34:35	9.41e-07	3.4399999999999997e-09	3.6099999999999997e-09	1.0300000000000002e-09	8	273	GH1-1a_LP-DIR-AF-37	LT-AF-Z:LP-DIR-AF	g	37	pmagpy-4.2.72	GH1-1a	u	0.125	0	0.0	0.0	36	273
JP	This study		0.3	266.8	85.1	GH1-1a_LP-DIR-AF	hargrave 2021-04-13 18:36:00	9.37e-07	3.3399999999999996e-09	3.53e-09	8.95e-10	8	273	GH1-1a_LP-DIR-AF-38	LT-AF-Z:LP-DIR-AF	g	38	pmagpy-4.2.72	GH1-1a	u	0.13	0	0.0	0.0	37	273
JP	This study		0.3	315.3	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:37:35	4.88e-06	1.59e-08	1.52e-08	2.7300000000000003e-09	8	273	GH1-2a_LP-DIR-AF-39	LT-NO:LP-DIR-AF	g	39	pmagpy-4.2.72	GH1-2a	u	0.0	0	0.0	0.0	0	273
JP	This study		0.3	317.3	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:39:01	4.86e-06	1.6e-08	1.51e-08	2.58e-09	8	273	GH1-2a_LP-DIR-AF-40	LT-AF-Z:LP-DIR-AF	g	40	pmagpy-4.2.72	GH1-2a	u	0.001	0	0.0	0.0	1	273
JP	This study		0.3	318.3	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:40:23	4.84e-06	1.63e-08	1.53e-08	2.57e-09	8	273	GH1-2a_LP-DIR-AF-41	LT-AF-Z:LP-DIR-AF	g	41	pmagpy-4.2.72	GH1-2a	u	0.002	0	0.0	0.0	2	273
JP	This study		0.3	318.9	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:41:45	4.84e-06	1.62e-08	1.54e-08	2.55e-09	8	273	GH1-2a_LP-DIR-AF-42	LT-AF-Z:LP-DIR-AF	g	42	pmagpy-4.2.72	GH1-2a	u	0.003	0	0.0	0.0	3	273
JP	This study		0.3	319.6	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:43:07	4.83e-06	1.63e-08	1.5e-08	2.54e-09	8	273	GH1-2a_LP-DIR-AF-43	LT-AF-Z:LP-DIR-AF	g	43	pmagpy-4.2.72	GH1-2a	u	0.004	0	0.0	0.0	4	273
JP	This study		0.3	320.1	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:44:28	4.82e-06	1.6100000000000002e-08	1.49e-08	2.53e-09	8	273	GH1-2a_LP-DIR-AF-44	LT-AF-Z:LP-DIR-AF	g	44	pmagpy-4.2.72	GH1-2a	u	0.005	0	0.0	0.0	5	273
JP	This study		0.3	320.7	85.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:45:54	4.81e-06	1.6100000000000002e-08	1.49e-08	2.52e-09	8	273	GH1-2a_LP-DIR-AF-45	LT-AF-Z:LP-DIR-AF	g	45	pmagpy-4.2.72	GH1-2a	u	0.006	0	0.0	0.0	6	273
JP	This study		0.2	320.6	85.8	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:47:16	4.8e-06	1.62e-08	1.16e-08	2.6e-09	8	273	GH1-2a_LP-DIR-AF-46	LT-AF-Z:LP-DIR-AF	g	46	pmagpy-4.2.72	GH1-2a	u	0.007	0	0.0	0.0	7	273
JP	This study		0.3	322.2	85.8	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:48:38	4.78e-06	1.59e-08	1.51e-08	2.55e-09	8	273	GH1-2a_LP-DIR-AF-47	LT-AF-Z:LP-DIR-AF	g	47	pmagpy-4.2.72	GH1-2a	u	0.008	0	0.0	0.0	8	273
JP	This study		0.3	323.0	85.7	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:50:00	4.76e-06	1.59e-08	1.46e-08	2.55e-09	8	273	GH1-2a_LP-DIR-AF-48	LT-AF-Z:LP-DIR-AF	g	48	pmagpy-4.2.72	GH1-2a	u	0.009	0	0.0	0.0	9	273
JP	This study		0.3	323.2	85.6	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:51:21	4.73e-06	1.58e-08	1.46e-08	2.6100000000000003e-09	8	273	GH1-2a_LP-DIR-AF-49	LT-AF-Z:LP-DIR-AF	g	49	pmagpy-4.2.72	GH1-2a	u	0.01	0	0.0	0.0	10	273
JP	This study		0.3	324.7	85.4	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:52:43	4.67e-06	1.6100000000000002e-08	1.49e-08	2.51e-09	8	273	GH1-2a_LP-DIR-AF-50	LT-AF-Z:LP-DIR-AF	g	50	pmagpy-4.2.72	GH1-2a	u	0.012	0	0.0	0.0	11	273
JP	This study		0.3	325.8	85.3	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:54:05	4.58e-06	1.52e-08	1.4099999999999999e-08	2.55e-09	8	273	GH1-2a_LP-DIR-AF-51	LT-AF-Z:LP-DIR-AF	g	51	pmagpy-4.2.72	GH1-2a	u	0.014	0	0.0	0.0	12	273
JP	This study		0.3	326.6	85.1	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:55:31	4.49e-06	1.51e-08	1.4e-08	2.49e-09	8	273	GH1-2a_LP-DIR-AF-52	LT-AF-Z:LP-DIR-AF	g	52	pmagpy-4.2.72	GH1-2a	u	0.016	0	0.0	0.0	13	273
JP	This study		0.3	327.0	85.0	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:56:53	4.38e-06	1.4499999999999999e-08	1.3600000000000001e-08	2.52e-09	8	273	GH1-2a_LP-DIR-AF-53	LT-AF-Z:LP-DIR-AF	g	53	pmagpy-4.2.72	GH1-2a	u	0.018	0	0.0	0.0	14	273
JP	This study		0.3	327.8	84.9	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:58:16	4.26e-06	1.4299999999999999e-08	1.33e-08	2.48e-09	8	273	GH1-2a_LP-DIR-AF-54	LT-AF-Z:LP-DIR-AF	g	54	pmagpy-4.2.72	GH1-2a	u	0.02	0	0.0	0.0	15	273
JP	This study		0.3	328.7	84.7	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 18:59:41	3.91e-06	1.3e-08	1.2e-08	2.36e-09	8	273	GH1-2a_LP-DIR-AF-55	LT-AF-Z:LP-DIR-AF	g	55	pmagpy-4.2.72	GH1-2a	u	0.025	0	0.0	0.0	16	273
JP	This study		0.3	329.5	84.5	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:01:04	3.48e-06	1.16e-08	1.06e-08	2.13e-09	8	273	GH1-2a_LP-DIR-AF-56	LT-AF-Z:LP-DIR-AF	g	56	pmagpy-4.2.72	GH1-2a	u	0.03	0	0.0	0.0	17	273
JP	This study		0.3	329.4	84.4	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:02:26	3.02e-06	1.02e-08	9.76e-09	1.89e-09	8	273	GH1-2a_LP-DIR-AF-57	LT-AF-Z:LP-DIR-AF	g	57	pmagpy-4.2.72	GH1-2a	u	0.035	0	0.0	0.0	18	273
JP	This study		0.3	330.3	84.3	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:03:48	2.61e-06	8.959999999999999e-09	8.240000000000001e-09	1.62e-09	8	273	GH1-2a_LP-DIR-AF-58	LT-AF-Z:LP-DIR-AF	g	58	pmagpy-4.2.72	GH1-2a	u	0.04	0	0.0	0.0	19	273
JP	This study		0.2	331.6	84.3	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:05:13	2.24e-06	6.55e-09	6.709999999999999e-09	1.3699999999999998e-09	8	273	GH1-2a_LP-DIR-AF-59	LT-AF-Z:LP-DIR-AF	g	59	pmagpy-4.2.72	GH1-2a	u	0.045	0	0.0	0.0	20	273
JP	This study		0.3	331.0	84.2	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:06:35	1.91e-06	6.27e-09	5.98e-09	1.15e-09	8	273	GH1-2a_LP-DIR-AF-60	LT-AF-Z:LP-DIR-AF	g	60	pmagpy-4.2.72	GH1-2a	u	0.05	0	0.0	0.0	21	273
JP	This study		0.3	332.6	84.2	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:07:57	1.66e-06	5.5399999999999995e-09	5.24e-09	1.0300000000000002e-09	8	273	GH1-2a_LP-DIR-AF-61	LT-AF-Z:LP-DIR-AF	g	61	pmagpy-4.2.72	GH1-2a	u	0.055	0	0.0	0.0	22	273
JP	This study		0.3	333.9	84.2	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:09:19	1.47e-06	5.1200000000000005e-09	4.93e-09	8.859999999999999e-10	8	273	GH1-2a_LP-DIR-AF-62	LT-AF-Z:LP-DIR-AF	g	62	pmagpy-4.2.72	GH1-2a	u	0.06	0	0.0	0.0	23	273
JP	This study		0.3	334.0	84.2	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:10:41	1.34e-06	4.46e-09	4.0999999999999995e-09	7.8e-10	8	273	GH1-2a_LP-DIR-AF-63	LT-AF-Z:LP-DIR-AF	g	63	pmagpy-4.2.72	GH1-2a	u	0.065	0	0.0	0.0	24	273
JP	This study		0.3	333.5	84.1	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:12:03	1.24e-06	4.3e-09	4.04e-09	7.389999999999999e-10	8	273	GH1-2a_LP-DIR-AF-64	LT-AF-Z:LP-DIR-AF	g	64	pmagpy-4.2.72	GH1-2a	u	0.07	0	0.0	0.0	25	273
JP	This study		0.3	335.7	84.1	GH1-2a_LP-DIR-AF	hargrave 2021-04-13 19:13:24	1.15e-06	3.81e-09	3.77e-09	6.610000000000001e-10	8	273	GH1-2a_LP-DIR-AF-65	LT-AF-Z:LP-DIR-AF	g	65	pmagpy-4.2.72	GH1-2a	u	0.075	0	0.0	0.0	26	273
