tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
GH1-1a		GH1-1a													JP				This study	LP-NOMAG				GH TP	GH1
GH1-1a	GH1-1a_LP-DIR-AF	GH1-1a		Fit 1	287.7	31.6	1	21	100	0.3	0.2	1.300e-01	3.000e-02	T		hargrave 2021-04-13 18:36:00	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GH TP	GH1
GH1-1a	GH1-1a_LP-DIR-AF	GH1-1a		Fit 1	287.7	31.6	1	21	0	0.3	0.2	1.300e-01	3.000e-02	T		hargrave 2021-04-13 18:36:00	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GH TP	GH1
GH1-1a	GH1-1a_LP-DIR-AF	GH1-1a		Fit 1	262.1	85.0	1	21	-1	0.3	0.2	1.300e-01	3.000e-02	T		hargrave 2021-04-13 18:36:00	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GH TP	GH1
GH1-1b	GH1-1b_LP-DIR-AF	GH1-1b		Fit 1	286.2	33.8	1	21	100	0.7	0.4	1.300e-01	3.000e-02	T		hargrave 2021-03-16 20:28:34	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GH TP	GH1
GH1-1b	GH1-1b_LP-DIR-AF	GH1-1b		Fit 1	286.2	33.8	1	21	0	0.7	0.4	1.300e-01	3.000e-02	T		hargrave 2021-03-16 20:28:34	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GH TP	GH1
GH1-1b	GH1-1b_LP-DIR-AF	GH1-1b		Fit 1	244.2	83.1	1	21	-1	0.7	0.4	1.300e-01	3.000e-02	T		hargrave 2021-03-16 20:28:34	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GH TP	GH1
GH1-1b		GH1-1b													JP				This study	LP-NOMAG				GH TP	GH1
GH1-2a		GH1-2a													JP				This study	LP-NOMAG				GH TP	GH1
GH1-2a	GH1-2a_LP-DIR-AF	GH1-2a		Fit 1	288.9	30.6	1	22	100	0.8	0.3	1.300e-01	2.500e-02	T		hargrave 2021-04-13 19:28:46	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GH TP	GH1
GH1-2a	GH1-2a_LP-DIR-AF	GH1-2a		Fit 1	288.9	30.6	1	22	0	0.8	0.3	1.300e-01	2.500e-02	T		hargrave 2021-04-13 19:28:46	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GH TP	GH1
GH1-2a	GH1-2a_LP-DIR-AF	GH1-2a		Fit 1	326.2	84.7	1	22	-1	0.8	0.3	1.300e-01	2.500e-02	T		hargrave 2021-04-13 19:28:46	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GH TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		Fit 1	288.9	84.0	1	22	-1	0.3	0.3	1.300e-01	2.500e-02	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GH TP	GH1
GH1-2b		GH1-2b													JP				This study	LP-NOMAG				GH TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		Fit 1	285.5	32.8	1	22	0	0.3	0.3	1.300e-01	2.500e-02	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GH TP	GH1
GH1-2b	GH1-2b_LP-DIR-AF	GH1-2b		Fit 1	285.5	32.8	1	22	100	0.3	0.3	1.300e-01	2.500e-02	T		hargrave 2021-03-16 21:21:36	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g			GH TP	GH1
GH1-3a	GH1-3a_LP-DIR-AF	GH1-3a		Fit 1	287.5	32.9	1	22	0	0.6	0.2	1.300e-01	2.500e-02	T		hargrave 2021-04-13 20:21:53	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g			GH TP	GH1
GH1-3a		GH1-3a													JP				This study	LP-NOMAG				GH TP	GH1
GH1-3a	GH1-3a_LP-DIR-AF	GH1-3a		Fit 1	259.8	83.6	1	22	-1	0.6	0.2	1.300e-01	2.500e-02	T		hargrave 2021-04-13 20:21:53	pmagpy-4.2.72: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g			GH TP	GH1
