tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
CF-100a_LP-DIR-T-15	CF-100a_LP-DIR-T	CF-100a	1.5	270.7	77.2	0	0	0	0	14	873	This study	hargrave 2021-01-29 09:41:10	LT-T-Z:LP-DIR-T	g	15	u	8	273	James Pierce		pmagpy-4.2.24-1	5.17e-08	8.55e-10	9.5e-10	3.31e-10	CF-100	CF	Cut Face Creek
CF-101a_LP-DIR-T-42	CF-101a_LP-DIR-T	CF-101a	3.3	132.8	61.2	0	0	0	0	13	873	This study	hargrave 2021-01-29 09:42:38	LT-T-Z:LP-DIR-T	g	42	u	8	273	James Pierce		pmagpy-4.2.24-1	5.08e-08	2.8100000000000004e-09	5.34e-10	6.14e-10	CF-101	CF	Cut Face Creek
CF-102a_LP-DIR-T-82	CF-102a_LP-DIR-T	CF-102a	20.5	132.1	65.5	0	0	0	0	21	873	This study	hargrave 2021-01-29 09:44:04	LT-T-Z:LP-DIR-T	b	82	u	8	273	James Pierce		pmagpy-4.2.24-1	4.13e-08	1.23e-08	1.3600000000000001e-08	4.0099999999999995e-08	CF-102	CF	Cut Face Creek
CF-102a_LP-DIR-T-83	CF-102a_LP-DIR-T	CF-102a	68.3	226.7	-68.4	0	0	0	0	22	873	This study	hargrave 2021-01-29 11:00:42	LT-T-Z:LP-DIR-T	b	83	u	8	273	James Pierce		pmagpy-4.2.24-1	4.15e-08	1.1200000000000001e-08	1.1899999999999999e-08	4.13e-08	CF-102	CF	Cut Face Creek
CF-102a_LP-DIR-T-84	CF-102a_LP-DIR-T	CF-102a	19.6	139.2	65.3	0	0	0	0	23	873	This study	hargrave 2021-01-29 11:09:09	LT-T-Z:LP-DIR-T	b	84	u	8	273	James Pierce		pmagpy-4.2.24-1	4.15e-08	1.4e-08	1.2099999999999999e-08	4.0300000000000004e-08	CF-102	CF	Cut Face Creek
CF-102a_LP-DIR-T-85	CF-102a_LP-DIR-T	CF-102a	3.3	130.7	68.2	0	0	0	0	24	873	This study	hargrave 2021-01-29 11:24:17	LT-T-Z:LP-DIR-T	g	85	u	8	273	James Pierce		pmagpy-4.2.24-1	8.29e-08	3.71e-09	2.26e-09	1.84e-09	CF-102	CF	Cut Face Creek
CF-103a_LP-DIR-T-128	CF-103a_LP-DIR-T	CF-103a	1.4	143.9	60.5	0	0	0	0	15	873	This study	hargrave 2021-01-29 09:45:27	LT-T-Z:LP-DIR-T	g	128	u	8	273	James Pierce		pmagpy-4.2.24-1	6.82e-08	8.87e-10	1.4199999999999999e-09	1.8700000000000003e-10	CF-103	CF	Cut Face Creek
CF-104a_LP-DIR-T-160	CF-104a_LP-DIR-T	CF-104a	0.9	160.1	60.7	0	0	0	0	13	873	This study	hargrave 2021-01-29 09:46:50	LT-T-Z:LP-DIR-T	g	160	u	8	273	James Pierce		pmagpy-4.2.24-1	6.98e-08	8.069999999999999e-10	6.22e-10	6.42e-10	CF-104	CF	Cut Face Creek
CF-105a_LP-DIR-T-187	CF-105a_LP-DIR-T	CF-105a	1.8	155.9	58.5	0	0	0	0	13	873	This study	hargrave 2021-01-29 09:48:14	LT-T-Z:LP-DIR-T	g	187	u	8	273	James Pierce		pmagpy-4.2.24-1	5.1799999999999994e-08	8.37e-10	1.5e-09	1.4500000000000002e-10	CF-105	CF	Cut Face Creek
CF-106a_LP-DIR-T-217	CF-106a_LP-DIR-T	CF-106a	1.8	150.5	56.5	0	0	0	0	15	873	This study	hargrave 2021-01-29 09:49:40	LT-T-Z:LP-DIR-T	g	217	u	8	273	James Pierce		pmagpy-4.2.24-1	4.45e-08	1.15e-09	6.42e-10	7.09e-10	CF-106	CF	Cut Face Creek
