tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CF-100a		CF-100										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	288.7	31.8	1	3	0	0.0	3.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:45:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	281.6	78.1	1	3	-1	0.0	3.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:45:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-100a	CF-100a_LP-DIR-T	CF-100		ht	282.7	36.7	1	3	100	0.0	3.6	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:45:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-101a		CF-101										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-101a		CF-101										Sedimentary	Sediment Layer	Siltstone:Sandstone													Cut Face Creek	CF
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	291.6	34.6	1	3	0	0.0	3.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 19:16:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	285.2	39.9	1	3	100	0.0	3.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 19:16:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-102a	CF-102a_LP-DIR-T	CF-102		ht	125.0	66.8	1	3	-1	0.0	3.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 19:16:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-102a		CF-102										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	294.5	29.1	1	3	0	0.0	8.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:49:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	289.4	34.9	1	3	100	0.0	8.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:49:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-103a		CF-103										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-103a	CF-103a_LP-DIR-T	CF-103		ht	126.5	63.8	1	3	-1	0.0	8.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:49:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-104a	CF-104a_LP-DIR-T	CF-104		ht	294.7	35.5	1	3	100	0.0	13.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:51:23	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-104a	CF-104a_LP-DIR-T	CF-104		ht	299.5	29.0	1	3	0	0.0	13.0	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 17:51:23	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
