Sample,Depth,RStrike,Dip,Demagnetization,n,MAD,Dg,Ig,Ds,Is,Plong,Plat,D*,I*,Plon*,Plat*,f
6D,22.48,276,63,580-673,9,13.8,293,38.5,317.3,4.5,326.4,40,317.3,8.9,328.7,41.4,0.5
7C,25.55,312,57,665-680,4,5.9,271.9,21,309.8,44.4,359.7,46.1,309.8,63,26.8,49.4,0.5
7E,25.58,312,57,660-680,5,6,268.2,13.8,298.7,43.9,4.1,36.7,298.7,62.6,26.9,41.5,0.5
7F,26.39,312,57,650-677,5,12.1,308.1,7.3,316,7.2,328.9,39.9,316,14.2,332.6,42.1,0.5
7H,26.94,312,57,660-680,5,8.3,300.2,28,330.9,24,324.6,56.9,330.9,41.7,344,63.2,0.5
7J,28.29,312,57,640-660,5,7.1,309.8,18.1,326.2,11.5,321.6,48.9,326.2,22.1,328.3,52.7,0.5
7L,29.81,312,57,660-680,5,6.1,303.5,34.1,338.2,24.1,314.9,62,338.2,41.8,336.9,69.2,0.5
7Q,32.15,312,57,660-690,5,2.4,265.6,43.3,341.9,54.6,10.3,74.7,341.9,70.5,60,64.1,0.5
7S,33.92,312,57,665-690,5,3.9,281.4,39.1,337.2,42.4,339.2,68.6,337.2,61.3,30.3,69.3,0.5
8B,36.84,312,57,660-690,5,1.7,283.2,38.7,337,41,336.9,67.9,337,60.1,26.4,69.6,0.5
8C,37.05,312,57,660-680,5,5.6,284.5,44.6,345,41.2,325.2,74.2,345,60.3,35.6,75,0.5
8F,38.5,312,57,620-665,5,7.2,290.9,-8.8,292.7,12.4,347.3,22.5,292.7,23.7,353.1,25.7,0.5
8G,38.79,312,57,665-690,5,8,242.7,60.5,22,59.4,143.7,70.6,22,73.5,106.1,59.1,0.5
8I,40.25,312,57,640-660,5,8.3,277.8,33,328.1,43.8,349.3,61.4,328.1,62.5,28.6,62.5,0.5
8K,41.29,312,57,650-670,5,13.2,265.1,63.6,14.1,49.5,179.3,77.8,14.1,66.9,111.4,69.7,0.5
8M,43.97,312,57,600-645,5,7,308.7,34.8,340.9,20.5,307.8,62.1,340.9,36.8,324.5,69.3,0.5
8Q,45.87,312,57,620-655,5,8.6,259,35,326.2,59.4,20.4,61.8,326.2,73.5,54.9,54.8,0.5
8R,47.95,312,57,640-665,6,10.3,282.4,33.8,330.6,40.3,342.2,62.5,330.6,59.5,21.7,65.1,0.5
10A,50.62,299,56,640-660,5,3.9,254.1,38.7,319.8,53.7,9,56.5,319.8,69.8,43.3,54.3,0.5
10D,55.72,299,56,660-677,5,7,229.2,69.5,17.5,52.8,165,75.3,17.5,69.2,110.7,65.9,0.5
10H,64.66,299,56,650-670,5,6.3,331.9,40,349,0.8,284.6,56.5,349,1.6,284.8,56.9,0.5
10M,67.7,299,56,645-665,5,1.7,252.1,67.1,5.3,48.6,203.1,84.7,5.3,66.2,96.5,73.1,0.5
10N,69.54,299,56,640-660,5,4.6,240.4,52.9,348.9,60.8,44.9,76.9,348.9,74.4,73.3,60.5,0.5
11B,71.3,299,56,620-650,5,2,290.5,27.6,318.5,21.6,335,46.5,318.5,38.4,348.8,51.8,0.5
11C,72.06,299,56,640-660,5,2.4,286.6,34.9,324.1,27.8,334.7,53,324.1,46.5,355.7,58.7,0.5
11E,72.32,299,56,655-670,4,4.8,290,17.3,308.8,16.9,339.5,37.2,308.8,31.3,348.7,41.5,0.5
11F,72.68,299,56,600-660,7,10,323.5,63.4,3.3,20.3,255.6,68.1,3.3,36.5,249.6,77.7,0.5
11J,74.26,299,56,655-670,4,8.2,331.1,60.1,3,15.4,257.1,65.5,3,28.9,254.4,73,0.5
11L,75.33,299,56,645-665,5,3.1,284.9,59.9,352.1,35.8,296,75.7,352.1,55.3,25.5,82.5,0.5
11N,75.98,299,56,620-650,5,5.2,269.2,58.8,350.5,43.8,318.3,79.4,350.5,62.5,54.4,76.2,0.5
11U,79.11,299,56,640-660,5,5.7,266.4,48.3,335.8,45.6,346.8,68.4,335.8,63.9,36.9,67,0.5
12A,82.52,299,56,650-670,5,3.2,278,34.3,320.4,34.1,343.3,52,320.4,53.6,8.7,57,0.5
12E,85.97,299,56,620-650,5,6.2,317.4,48.8,348.8,14.4,289.4,63,348.8,27.2,296.8,69.5,0.5
11I,88.22,299,56,650-670,5,3.6,303.5,26,323.2,10.8,324.3,46.5,323.2,20.9,330.4,50,0.5
12K,89.62,299,56,640-670,7,14.9,292.9,67.2,1.5,33.3,258.4,75.9,1.5,52.7,133.4,88.3,0.5
13H,98.36,296,70,655-670,4,5.5,270.6,38.9,330.1,31.9,332.6,59.2,330.1,51.2,1.6,64.7,0.5
13I,99.49,296,70,650-670,5,3.4,308.7,45,342.1,5.5,297.7,56.1,342.1,10.9,300.1,58.5,0.5
14A,102.29,296,70,655-675,5,1.7,288.2,53.8,347.4,20.5,295.4,65.5,347.4,36.8,311.3,73.8,0.5
14D,102.61,296,70,660-675,4,6.9,294.7,31.7,325.8,11.4,322,48.6,325.8,22,328.7,52.3,0.5
14G,105.41,296,70,655-680,6,8.6,252.6,48.6,344.8,43.1,330,74.9,344.8,61.9,41,73.8,0.5
14I,106.48,296,70,640-660,4,5.8,292.6,51.6,345.4,17.6,297.8,63.2,345.4,32.4,309.9,70.3,0.5
14P,108.98,296,70,650-673,6,7.1,277.9,45.7,338,26.7,317.4,63,338,45.2,344,70.1,0.5
14R,110.14,296,70,640-680,5,7.9,278.6,51.8,344.8,26.3,305,67,344.8,44.7,334.3,75.5,0.5
14S,110.14,296,70,640-690,10,6.9,248.8,4.3,281.1,45.5,12.8,22.8,281.1,63.8,32,29.6,0.5
14U,110.98,296,70,645-670,6,3.9,264.7,17.1,303.4,34.6,354.2,37.9,303.4,54.1,13.5,43.3,0.5
14V,112.54,296,70,650-670,5,1.3,303.6,47.2,342.9,9.6,298.2,58.3,342.9,18.7,303.1,62.4,0.5
14X,113.97,296,70,645-665,5,9.7,286.9,46.7,339.7,20.5,309.7,61.4,339.7,36.8,326.5,68.4,0.5
14Z,115.19,296,70,660-680,6,8.8,266.9,25.4,313.8,34,347.7,46.5,313.8,53.5,10,51.6,0.5
14-B,116.4,296,70,630-655,5,2.3,277.3,43.8,335.9,27,320.7,61.7,335.9,45.5,346.5,68.4,0.5
14-E,118.24,296,70,660-680,5,0.8,269.1,39.5,330.8,33.1,333.1,60.2,330.8,52.5,4.3,65.5,0.5
14-G,119.77,296,70,630-655,5,2.4,248.1,2.3,278.1,45.3,13.9,20.3,278.1,63.7,32.6,27.6,0.5
14-L,123.13,296,70,645-680,8,7.3,244.4,41,337.5,51.3,359.6,71,337.5,68.2,50.2,64.8,0.5
14-N,128.59,296,70,660-680,5,3.8,285.3,54.5,347.9,22.3,295.4,66.6,347.9,39.4,314.7,75.4,0.5
15A,131.89,296,70,640-660,5,2.3,291.9,60.7,354.8,19.3,277.6,67.2,354.8,35,285.4,76.3,0.5
15C,134.18,296,70,645-665,5,6.8,238.4,83,21.8,25.9,212.2,62.8,21.8,44.2,186.9,70,0.5
15E,135.49,296,70,650-680,7,10,249.2,80.1,18.4,27,216.9,65.5,18.4,45.5,187.7,73.2,0.5
15G,137.58,296,70,645-665,5,4,281.6,72.1,7.1,23.4,244.6,69,7.1,40.9,227,79.2,0.5
15J,139.09,296,70,660-680,5,5.1,14.8,84.1,24.8,14.2,216.2,56,24.8,26.8,207.1,61.1,0.5
17B,140.1,284,65,660-677,5,3.6,279.8,44.7,337,25.3,317.7,61.7,337,43.4,341.3,68.7,0.5
17C,144.84,284,65,620-660,7,11.2,282.3,70.7,5.5,23.4,248.9,69.4,5.5,40.9,234,80,0.5
17D,149.14,284,65,655-673,5,2,223.4,48.1,3.5,58.6,105,82.3,3.5,73,88.4,63.5,0.5
17G,149.67,284,65,650-673,5,9.1,249.1,61.2,0.9,39.1,259.5,79.9,0.9,58.4,90.1,83.1,0.5
