sample,#,depth,Dg,Ig,Ds,Is,Lat,Lon
G1366,1,3325.4,210.8,-68.3,249.2,-26.9,-24.9,6.1
G1365-1,2,3323.4,94.5,-73.3,267.6,-56.6,-19.8,336.1
G1362,3,3317.4,177.7,-14.2,189.5,-10.9,-63.1,77
G1361,4,3315.4,193.1,-36.5,216.2,-14,-48.7,35.7
G1360,5,3313.4,205.1,5.3,192.6,22.5,-45.8,80.5
G1359,6,3311.4,179.9,-37.3,210.2,-23,-56.3,35.7
G1358,7,3309.9,201.5,-37.5,221.5,-9.7,-43.2,33.4
G1357,8,3309.4,178.5,-11.5,187.9,-8.6,-62.5,81.1
G1353,9,3299.4,176.8,20.4,162.2,10.6,-50,126.6
G1352-2,10,3297.4,177.4,-29.9,202.4,-20.5,-61,47.8
G1351,11,3293.4,177,-38.7,210.2,-25.6,-57.2,33.6
G1350,12,3291.4,188.1,-51.6,224.6,-21.1,-44.2,24.2
G1349,13,3289.4,180,-36.9,208.1,-17.8,-56,42
G1347,14,3283.4,175,-32.7,202.2,-19,-60.5,49.2
G1346-2,15,3281.4,193.5,-10.7,194.8,7.9,-52.4,73.6
G1345,16,3277.4,204.7,-4.4,197.6,20.3,-45.4,73.3
G1344,17,3275.4,195.7,-23.5,205.9,1.1,-50.1,55.4
G1342,18,3271.4,266.3,12.4,267.9,65.4,20.9,52
G1341,19,3269.4,166.8,-28.7,194.6,-22.9,-66.8,59.6
G1340,20,3267.4,186.5,7.1,176.3,13.5,-52.1,104.3
G1339,21,3266,170.9,-34,201.5,-22.5,-62.4,47.5
G1338,22,3264,175.1,-52.5,221.2,-28.5,-49.3,21.4
G1337,23,3261,156.4,13.7,152.9,-6,-52.2,146.2
G1336,24,3259,189.7,-43.2,218.1,-15.3,-47.6,33.2
G1332,25,3251,178,-33.8,204.6,-17.5,-58.3,46.8
G1331,26,3249,160,-6.5,171.1,-15.8,-65.7,120.2
G1330,27,3247,184.5,11.8,171,14.6,-50.8,112.5
G1329,28,3245,145.5,-36.8,194.1,-42.5,-76.1,31.4
G1327-2,29,3240.8,216.8,-75.9,253.3,-27.1,-21.5,4
G1326,30,3238.8,193.7,-47.3,223.1,-15.5,-43.7,28.8
G1325,31,3236.8,209.4,-81,256.3,-31.6,-20.2,359.9
G1322,32,3230.8,207.6,-40.7,225.1,-3.8,-38.5,33.5
G1321,33,3228.8,161.2,-42.9,206.6,-33.3,-62.8,29.8
G1315,34,3216.8,167.8,-34.6,200.6,-25.1,-64.1,46.7
G1314,35,3214.8,157.2,-51.5,215.8,-38.5,-56.8,15.6
G1313,36,3212.8,35.4,40.1,49.4,-0.4,33.8,212.2
G1312,37,3210.8,202.4,-24.7,211,4.8,-45.5,51
G1311,38,3208.8,174.4,-55.3,223.9,-29.9,-47.4,18.3
G1309,39,3204.8,207.8,-61.7,240.1,-19,-30.6,15.4
G1308,40,3202.8,196.4,-49.6,226.2,-15.6,-41.3,26.3
G1307-2,41,3200.8,180,-52.9,223.1,-26,-46.9,21.9
G1306,42,3198.8,185.2,-66.4,238,-29.7,-35.3,10.1
G1304-1,43,3194.8,174.4,-10.1,182.8,-6.5,-62.3,92.3
G1303,44,3192.8,167.3,-40.2,206,-28,-61.3,36.3
G1302,45,3190.8,156.4,-5.9,168.4,-18.3,-66,127.5
G1301-1,46,3188.8,154.6,-46.4,208.8,-38.9,-62.8,20.4
G1300,47,3186.8,166,-26,191.6,-22.1,-67.8,66.8
G1299,48,3184.8,160.8,-67.2,236.1,-39.1,-39.5,4
G1298,49,3182.8,202.7,-64.6,236.8,-23.7,-34.7,14.6
