specimen,strat_level
CF-1a,1.1
CF-2a,1.5
CF-3a,1.8
CF-4a,2.2
CF-5a,2.6
CF-6a,3.3
CF-7a,3.7
CF-8a,4.1
CF-9a,5.4
CF-10a,5.8
CF-11a,6.2
CF-12a,6.7
CF-13a,7.1
CF-14a,7.6
CF-15a,8
CF-16a,8.2
CF-17a,8.7
CF-18a,9.1
CF-19a,10.7
CF-20a,11.1
CF-21a,11.3
CF-22a,11.4
CF-23a,11.8
CF-24a,13
CF-25a,15
CF-26a,15.5
CF-27a,16
CF-28a,16.4
CF-29a,17.2
CF-30a,17.8
CF-31a,18
CF-32a,18.5
CF-33a,18.6
CF-34a,18.8
CF-35a,19.2
CF-36a,19.6
CF-37a,20
CF-38a,20.2
CF-39a,20.3
CF-40a,20.5
CF-41a,20.6
CF-42a,20.7
CF-43a,20.9
CF-44a,21.2
CF-45a,21.7
CF-46a,22.2
CF-47a,22.3
CF-48a,22.4
CF-49a,22.8
CF-50a,23.1
CF-51a,23.4
CF-52a,24.6
CF-53a,25
CF-54a,25.4
CF-55a,25.8
CF-56a,26.3
CF-57a,26.9
CF-58a,27.2
CF-59a,27.7
CF-60a,28.3
CF-61a,28.5
CF-62a,28.9
CF-63a,29.3
CF-64a,30
CF-65a,30.3
CF-66a,30.6
CF-67a,31
CF-68a,31.3
CF-69a,31.9
CF-70a,32.2
CF-71a,32.6
CF-72a,32.9
CF-73a,33.3
CF-74a,33.7
CF-75a,33.9
CF-76a,34.2
CF-77a,34.6
CF-78a,35
CF-79a,35.3
CF-80a,35.6
CF-81a,36
CF-82a,36.6
CF-83a,37.1
CF-84a,37.2
CF-85a,37.6
CF-86a,37.9
CF-87a,38.1
CF-88a,38.4
CF-89a,40.6
CF-90a,41.8
CF-91a,42.2
CF-92a,42.4
CF-93a,43.7
CF-94a,43.75
CF-96a,43.85
CF-97a,45.8
CF-98a,46.2
CF-99a,46.6
CF-100a,47
CF-101a,47.5
CF-102a,47.8
CF-103a,48.4
CF-104a,48.9
CF-105a,48.95
CF-106a,49.3
CF-107a,49.8
CF-108a,50.4
CF-109a,50.8
CF-110a,51.7
CF-111a,51.8
CF-112a,52.1
CF-113a,52.2
CF-114a,52.9
CF-115a,53.4
CF-116a,53.9
CF-117a,54.2
CF-118a,54.8
CF-119a,55.2
CF-120a,55.5
CF-121a,55.8
CF-122a,56
CF-123a,56.3
CF-124a,56.5
CF-125a,56.7
CF-126a,57
CF-127a,57.4
CF-128a,57.9
CF-129a,59.6
CF-130a,59.9
CF-131a,60.2
CF-132a,60.7
CF-133a,61.1
CF-134a,62
CF-135a,62.4
CF-136a,62.8
CF-137a,63.3
CF-138a,63.9
CF-139a,64.2
CF-140a,64.7
CF-141a,65.4
CF-142a,65.8
CF-143a,66.2
CF-144a,67.1
CF-145a,67.3
CF-146a,68.5
CF-147a,68.9
CF-148a,69.9
CF-149a,70.3
CF-150a,70.4
CF-151a,70.6
CF-152a,71.9
CF-153a,72.6
CF-154a,73
CF-155a,73.5
CF-156a,73.9
CF-157a,75
CF-158a,75.8
CF-159a,76.1
CF-160a,76.8
CF-161a,77.5
CF-162a,78.1
CF-163a,78.7
CF-164a,79.6
CF-165a,80.2
CF-166a,80.6
CF-167a,81.1
CF-168a,81.6
CF-169a,82.4
CF-170a,82.9
CF-171a,83.5
CF-172a,84.1
CF-173a,85
CF-174a,86.1
CF-175a,86.9
CF-176a,87.3
CF-177a,88
CF-178a,88.9
CF-179a,89.7
CF-180a,90.2
CF-181a,91
CF-182a,91.5
CF-183a,92.3
CF-184a,93
CF-185a,94.1
CF-186a,94.6
